,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
13,13,13,60,60,,60,50-54,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.7333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,0.7333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,7,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0005833333333333334,label8x,label1x,,7,0,0,0.8571428571428572
14,14,14,75,75,,75,65-69,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.9333333333333332,1.0,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-1.0-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label2x,,,1,0,0,1.0
15,15,15,78,78,,78,45-49,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Other,,,,0.6666666666666666,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,21,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.6666666666666666,0.19047619047619047,0.0,0.0,0.00175,label9x,label10x,label1x,8,9,0,0.9047619047619047
16,16,16,91,91,,91,19 Years,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,,,,0.2,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.2-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,6,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,label3x,label2x,,2,1,0,1.0
17,17,17,93,93,,93,60-64,Quebec,Male,English,French,High School Graduation Certificate,Not Employed,Senior Managers/Owners,,,,0.8666666666666667,0.8888888888888888,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.5555555555555556,0,1.0,,0.8666666666666667-0.8888888888888888-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.5555555555555556-0-1.0,10,0.0,0.3,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,label5x,label2x,label3x,4,1,2,1.0
18,18,18,104,104,,104,65-69,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Skilled,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,8,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0006666666666666666,label10x,label3x,label4x,9,2,3,1.0
19,19,19,105,105,,105,40-44,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00025,label7x,,,6,0,0,1.0
20,20,20,108,108,,108,70+,Ontario,Male,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,1.0,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.4,0.0,0.2222222222222222,0,0.0,,1.0-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.4-0.0-0.2222222222222222-0-0.0,10,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0008333333333333334,label12x,label1x,,11,0,0,0.7999999999999999
21,21,21,115,115,,115,60-64,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.0,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.0-0.0-0.8888888888888888-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
22,22,22,116,116,,116,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,4,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,label3x,label1x,,2,0,0,1.0
23,23,23,117,117,,117,65-69,Ontario,Male,Other,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.9333333333333332,0.6666666666666666,0,0.7058823529411765,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.7058823529411765-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,13,0.15384615384615385,0.0,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0010833333333333333,label3x,label4x,label1x,2,3,0,0.6923076923076924
25,25,25,125,125,,126,35-39,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Other,,,,0.5333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.5333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,8,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0006666666666666666,label8x,label5x,,7,4,0,1.0
27,27,27,144,144,,145,50-54,Quebec,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label7x,,,6,0,0,1.0
28,28,28,151,151,,152,30-34,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Skilled,,,,0.4666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.4666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label1x,,,0,0,0,0.5
30,30,30,161,161,,162,55-59,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Professionals,,,,0.8,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.8,0.0,0.4444444444444444,0,1.0,,0.8-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.8-0.0-0.4444444444444444-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label2x,,,1,0,0,1.0
31,31,31,165,165,,166,30-34,Alberta,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.0,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.0-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,22,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.8636363636363636,0.0018333333333333333,label12x,label6x,,11,5,0,1.0
32,32,32,166,166,,167,45-49,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.6666666666666666,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,20,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0016666666666666668,label12x,label2x,label3x,11,1,2,0.85
33,33,33,167,167,,168,40-44,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.6,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.6-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label1x,,,0,0,0,1.0
34,34,34,168,168,,169,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label2x,,,1,0,0,1.0
35,35,35,176,176,,177,70+,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.8888888888888888,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.8888888888888888-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label5x,,,4,0,0,1.0
36,36,36,178,178,,179,15-17,Manitoba,Male,English,French,High School Graduation Certificate,Not Employed,Other,,,,0.06666666666666668,0.2222222222222222,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.1111111111111111,0,1.0,,0.06666666666666668-0.2222222222222222-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.1111111111111111-0-1.0,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,label1x,label3x,,0,2,0,1.0
37,37,37,185,185,,186,40-44,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label3x,,,2,0,0,1.0
38,38,38,186,186,,187,65-69,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,label1x,,,0,0,0,0.5
39,39,39,202,202,,203,25-29,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label4x,,,3,0,0,1.0
40,40,40,207,207,,208,30-34,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,8,0.0,0.25,0.0,0.125,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,label7x,label2x,label4x,6,1,3,0.875
41,41,41,211,211,,212,25-29,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,label3x,label4x,,2,3,0,1.0
42,42,42,217,217,,218,70+,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.5,0.0,0.1111111111111111,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.5-0.0-0.1111111111111111-0-1.0,5,0.0,0.4,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0004166666666666667,label2x,label4x,,1,3,0,0.6000000000000001
43,43,43,219,219,,220,50-54,Quebec,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-1.0-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label5x,,,4,0,0,1.0
44,44,44,223,223,,224,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.0,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.0-0-1.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label6x,,,5,0,0,1.0
45,45,45,225,225,,226,40-44,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.6,0.0,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.6-0.0-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,9,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.00075,label8x,label3x,label10x,7,2,9,1.0
46,46,46,240,240,,241,70+,Alberta,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,1.0,0.0,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,1.0-0.0-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,4,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,label7x,label1x,,6,0,0,1.0
48,48,48,246,246,,247,50-54,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.0,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.0-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label1x,,,0,0,0,1.0
49,49,49,251,251,,252,40-44,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Unskilled,,,,0.6,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,1.0,0,1.0,,0.6-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-1.0-0-1.0,19,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0015833333333333333,label11x,label1x,,10,0,0,0.9473684210526316
50,50,50,253,253,,254,15-17,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Professionals,,,,0.06666666666666668,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.8,0.0,0.4444444444444444,0,1.0,,0.06666666666666668-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.8-0.0-0.4444444444444444-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-05,label2x,,,1,0,0,1.0
51,51,51,255,255,,256,55-59,Ontario,Male,Other,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.8,0.6666666666666666,0,0.7058823529411765,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.8-0.6666666666666666-0-0.7058823529411765-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,36,0.0,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.0,0.2222222222222222,0.0,0.5,0.05555555555555555,0.0,0.0,0.003,label9x,label7x,label3x,8,6,2,0.8055555555555556
52,52,52,265,265,,266,55-59,Alberta,Female,English,English,Trade Certificate/Diploma,Not Employed,Other Managers,,,,0.8,0.0,1,0.2352941176470588,0.2352941176470588,0.8,0.5,0.2222222222222222,0,1.0,,0.8-0.0-1-0.2352941176470588-0.2352941176470588-0.8-0.5-0.2222222222222222-0-1.0,7,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0005833333333333334,label7x,label2x,label1x,6,1,0,0.857142857142857
53,53,53,268,268,,269,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label5x,,,4,0,0,1.0
54,54,54,273,273,,274,65-69,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.9333333333333332,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.9333333333333332-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,11,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0009166666666666666,label8x,label4x,,7,3,0,1.0
55,55,55,280,280,,281,25-29,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.4,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.4-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,6,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0005,label7x,label5x,,6,4,0,1.0
57,57,57,287,287,,288,60-64,Ontario,Male,English,French,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,,,,0.8666666666666667,0.6666666666666666,0,0.2352941176470588,0.29411764705882354,0.0,0.5,0.1111111111111111,0,1.0,,0.8666666666666667-0.6666666666666666-0-0.2352941176470588-0.29411764705882354-0.0-0.5-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,label4x,,,3,0,0,0.5
58,58,58,290,290,,291,35-39,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,,,,0.5333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,0.0,,0.5333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-0.0,12,0.3333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.001,label1x,label6x,label4x,0,5,3,0.6666666666666666
59,59,59,295,295,,296,35-39,British Columbia,Female,English,English,Bachelors Degrees,Not Employed,Other,,,,0.5333333333333333,0.1111111111111111,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.5333333333333333-0.1111111111111111-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,label6x,,,5,0,0,1.0
