Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels
13,30-34,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other Managers,$60000-$74999,Other,Chicken_Chicken past 30 3-4
14,65-69,Saskatchewan,Male,Indian-Punjabi,French,Elementary School Graduation Cert,Not Employed,Other,$200000 Or Over,White,Burgers_Burger Past 30 5+
15,70+,Ontario,Female,German,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$25000-$34999,White,Chicken_Chicken Past 30 1-2
16,55-59,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Professionals,$35000-$39999,White,Burgers_Burger past 30 3-4
17,30-34,British Columbia,Male,French,French,Elementary School Graduation Cert,Full-Time,Skilled,$60000-$74999,Black,Chicken_Chicken Past 30 1-2
18,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,Not Stated,Burgers_Burger Past 30 1-2
19,35-39,Ontario,Male,French,English,Elementary School Graduation Cert,Not Employed,Skilled,$35000-$39999,White,Burgers_Burger Past 30 1-2
20,60-64,Quebec,Male,French,English,High School Graduation Certificate,Full-Time,Other,$35000-$39999,Aboriginal,Chicken_Chicken Past 30 1-2
21,65-69,New Brunswick,Female,English,English,Masters Degrees,Full-Time,Other Managers,Under $25000,White,Popeyes 1-2
22,70+,British Columbia,Male,French,English,Bachelors Degrees,Not Employed,Unskilled,$125000-$149999,Black,Chicken_Chicken Past 30 1-2
23,35-39,Quebec,Female,English,English,Masters Degrees,Not Employed,Professionals,$125000-$149999,White,Chicken_Chicken Past 30 1-2
24,30-34,Quebec,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,$200000 Or Over,Arab,Burgers_Burger Past 30 1-2
25,70+,Ontario,Female,English,French,Univ Cert/Dipl Below Bachelor Level,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Burgers_Burger Past 30 1-2
26,70+,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
27,70+,Ontario,Female,Other,English,Elementary School Graduation Cert,Part-Time,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
28,35-39,Quebec,Female,English,French,High School Graduation Certificate,Not Employed,Other Managers,$100000-$124999,White,Chicken_Chicken Past 30 1-2
29,30-34,Ontario,Male,French,French,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$100000-$124999,White,Burgers_Burger Past 30 1-2
30,55-59,Ontario,Female,English,English,Masters Degrees,Full-Time,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
31,20-21,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
32,40-44,Alberta,Female,English,English,Trade Certificate/Diploma,Not Employed,Other,$100000-$124999,Not Stated,Burgers_Burger Past 30 1-2
33,18 Years,Quebec,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,$25000-$34999,White,Chicken_Chicken past 30 3-4
34,60-64,Quebec,Female,English,Portuguese,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$60000-$74999,Chinese,Burgers_Burger Past 30 5+
35,40-44,Ontario,Female,French,English,High School Graduation Certificate,Not Employed,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
36,25-29,British Columbia,Male,French,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Senior Managers/Owners,$125000-$149999,White,Chicken_Chicken Past 30 1-2
37,35-39,Ontario,Female,French,English,None,Not Employed,Technical/Sales/Teaching/Other White Collar,$60000-$74999,Black,Burgers_Burger Past 30 1-2
38,60-64,Ontario,Female,German,Arabic,High School Graduation Certificate,Not Employed,Other,$40000-$49999,Black,Chicken_Chicken Past 30 1-2
39,60-64,Ontario,Male,English,French,High School Graduation Certificate,Not Employed,Other,$50000-$59999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
40,15-17,Nova Scotia,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,Under $25000,White,Chicken_Chicken past 30 3-4
41,70+,Quebec,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Skilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
42,25-29,Ontario,Female,French,English,High School Graduation Certificate,Full-Time,Unskilled,$50000-$59999,White,Burgers_Burger Past 30 1-2
43,65-69,Ontario,Male,German,English,Bachelors Degrees,Full-Time,Skilled,$25000-$34999,White,Burgers_Burger past 30 3-4
44,60-64,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Burgers_Burger Past 30 1-2
45,55-59,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,$60000-$74999,Other,Chicken_Chicken Past 30 1-2
46,65-69,British Columbia,Male,English,English,Elementary School Graduation Cert,Not Employed,Professionals,$35000-$39999,White,Burgers_Burger Past 30 1-2
47,30-34,Quebec,Female,English,English,Masters Degrees,Full-Time,Other,$150000-$199999,Other,Chicken_Chicken Past 30 1-2
48,22-24,Ontario,Female,English,English,None,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
49,60-64,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,$35000-$39999,Arab,Burgers_Burger Past 30 1-2
50,25-29,Ontario,Female,French,Arabic,Trade Certificate/Diploma,Not Employed,Unskilled,$40000-$49999,White,Burgers_Burger Past 30 1-2
51,60-64,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger past 30 3-4
52,35-39,British Columbia,Female,Indian-Hindi,English,Trade Certificate/Diploma,Not Employed,Professionals,$60000-$74999,Other,Chicken_Chicken Past 30 5+
53,55-59,Manitoba,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$150000-$199999,White,Chicken_Chicken Past 30 1-2
54,70+,Ontario,Male,French,French,Elementary School Graduation Cert,Not Employed,Other Managers,$60000-$74999,White,Popeyes 5+
55,25-29,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,$100000-$124999,White,Chicken_Chicken past 30 3-4
56,30-34,Quebec,Male,English,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$40000-$49999,White,Burgers_Burger Past 30 1-2
57,30-34,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Primary,$200000 Or Over,White,Burgers_Burger past 30 3-4
58,22-24,Saskatchewan,Female,English,French,High School Graduation Certificate,Full-Time,Other Managers,$35000-$39999,White,Chicken_Chicken Past 30 1-2
59,15-17,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,$35000-$39999,Black,Burgers_Burger Past 30 1-2
60,50-54,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
61,30-34,Ontario,Female,Greek,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$200000 Or Over,White,Burgers_Burger Past 30 1-2
62,55-59,Ontario,Female,German,English,Bachelors Degrees,Not Employed,Skilled,Under $25000,White,Chicken_Chicken Past 30 1-2
63,40-44,Nova Scotia,Male,French,English,Bachelors Degrees,Full-Time,Other,$40000-$49999,White,Chicken_Chicken Past 30 5+
64,30-34,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other Managers,$75000-$99999,Other,Burgers_Burger Past 30 1-2
65,45-49,Quebec,Female,English,French,Elementary School Graduation Cert,Full-Time,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 1-2
66,50-54,Ontario,Male,English,English,Trade Certificate/Diploma,Not Employed,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Burgers_Burger Past 30 1-2
67,65-69,Nova Scotia,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$25000-$34999,Black,Burgers_Burger Past 30 1-2
68,40-44,New Brunswick,Male,French,English,Bachelors Degrees,Not Employed,Professionals,$75000-$99999,White,Burgers_Burger Past 30 1-2
69,70+,British Columbia,Male,English,English,Bachelors Degrees,Full-Time,Clerical/Secretarial,$60000-$74999,Other,Burgers_Burger Past 30 1-2
70,70+,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Other Managers,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
71,35-39,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 1-2
72,18 Years,Quebec,Female,English,French,High School Graduation Certificate,Full-Time,Other Managers,$50000-$59999,White,Burgers_Burger Past 30 1-2
73,65-69,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,$75000-$99999,Other,Burgers_Burger Past 30 1-2
74,45-49,Saskatchewan,Male,Italian,French,Bachelors Degrees,Full-Time,Other Managers,$150000-$199999,White,Burgers_Burger Past 30 5+
75,65-69,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
76,35-39,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Skilled,$150000-$199999,White,Burgers_Burger Past 30 1-2
77,70+,Alberta,Female,English,Other,High School Graduation Certificate,Not Employed,Professionals,$25000-$34999,White,Chicken_Chicken Past 30 1-2
78,45-49,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
79,25-29,Quebec,Male,French,English,Trade Certificate/Diploma,Full-Time,Other,$150000-$199999,White,Burgers_Burger Past 30 1-2
80,65-69,Ontario,Female,English,French,High School Graduation Certificate,Not Employed,Professionals,$50000-$59999,White,Burgers_Burger past 30 3-4
81,30-34,Alberta,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,Under $25000,Not Stated,Burgers_Burger Past 30 1-2
82,45-49,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$200000 Or Over,Other,Burgers_Burger Past 30 1-2
83,70+,Ontario,Female,French,French,Bachelors Degrees,Full-Time,Other Managers,$35000-$39999,White,Burgers_Burger Past 30 1-2
84,25-29,Ontario,Female,English,French,Elementary School Graduation Cert,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
85,30-34,Alberta,Male,French,English,Trade Certificate/Diploma,Not Employed,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,White,Burgers_Burger Past 30 1-2
86,40-44,Nova Scotia,Female,English,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Technical/Sales/Teaching/Other White Collar,$40000-$49999,White,Chicken_Chicken Past 30 1-2
87,35-39,Alberta,Male,Polish,English,Masters Degrees,Full-Time,Professionals,$200000 Or Over,White,Burgers_Burger Past 30 1-2
88,15-17,Ontario,Female,English,Chinese-Cantonese,High School Graduation Certificate,Full-Time,Skilled,Under $25000,White,Burgers_Burger past 30 3-4
89,60-64,Ontario,Female,French,English,High School Graduation Certificate,Not Employed,Other,$100000-$124999,Japanese,Burgers_Burger Past 30 1-2
90,40-44,Ontario,Female,English,Indian-Other,Elementary School Graduation Cert,Not Employed,Senior Managers/Owners,$75000-$99999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
91,19 Years,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$150000-$199999,White,Chicken_Chicken Past 30 1-2
92,22-24,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$150000-$199999,Filipino,Burgers_Burger Past 30 1-2
93,60-64,Quebec,Male,English,French,High School Graduation Certificate,Not Employed,Senior Managers/Owners,$75000-$99999,White,Chicken_Chicken past 30 3-4
94,50-54,Ontario,Female,Indian-Hindi,English,High School Graduation Certificate,Full-Time,Unskilled,$100000-$124999,White,Chicken_Chicken Past 30 1-2
95,45-49,British Columbia,Female,English,English,Elementary School Graduation Cert,Part-Time,Other,$200000 Or Over,White,Burgers_Burger Past 30 1-2
96,22-24,Ontario,Male,English,Other,High School Graduation Certificate,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger past 30 3-4
97,30-34,Ontario,Male,French,English,High School Graduation Certificate,Not Employed,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 1-2
98,15-17,Ontario,Male,English,English,Elementary School Graduation Cert,Part-Time,Skilled,$75000-$99999,White,Chicken_Chicken Past 30 1-2
99,55-59,Alberta,Female,Other,English,Bachelors Degrees,Not Employed,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,White,Burgers_Burger Past 30 1-2
100,15-17,Quebec,Female,English,French,Elementary School Graduation Cert,Full-Time,Senior Managers/Owners,$25000-$34999,White,Burgers_Burger Past 30 5+
101,22-24,British Columbia,Male,French,English,High School Graduation Certificate,Not Employed,Unskilled,$100000-$124999,White,Chicken_Chicken Past 30 5+
102,60-64,Prince Edward Island,Female,English,English,Bachelors Degrees,Full-Time,Skilled,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
103,20-21,Ontario,Male,Other,English,Bachelors Degrees,Full-Time,Other Managers,$150000-$199999,Black,Burgers_Burger Past 30 1-2
104,65-69,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Skilled,$75000-$99999,White,Chicken_Chicken Past 30 1-2
105,40-44,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
106,70+,Nova Scotia,Female,English,English,Masters Degrees,Not Employed,Clerical/Secretarial,$150000-$199999,White,Burgers_Burger Past 30 1-2
107,19 Years,Alberta,Male,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
108,70+,Ontario,Male,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,$75000-$99999,Aboriginal,Burgers_Burger Past 30 1-2
109,22-24,British Columbia,Male,French,English,Trade Certificate/Diploma,Not Employed,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Chicken_Chicken Past 30 5+
110,25-29,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,Aboriginal,Burgers_Burger past 30 3-4
111,50-54,Alberta,Female,English,French,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Chicken_Chicken Past 30 1-2
112,65-69,Alberta,Male,English,French,Elementary School Graduation Cert,Not Employed,Senior Managers/Owners,$75000-$99999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
113,45-49,Ontario,Male,Spanish,English,Masters Degrees,Full-Time,Other,$50000-$59999,White,Chicken_Chicken Past 30 1-2
114,15-17,Ontario,Male,English,Spanish,Trade Certificate/Diploma,Full-Time,Other,$60000-$74999,Arab,Burgers_Burger Past 30 1-2
115,60-64,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$40000-$49999,White,Chicken_Chicken Past 30 1-2
116,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
117,65-69,Ontario,Male,Other,English,Elementary School Graduation Cert,Full-Time,Other,$40000-$49999,White,Burgers_Burger Past 30 5+
118,45-49,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Professionals,$25000-$34999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
119,30-34,Manitoba,Female,French,French,High School Graduation Certificate,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
120,45-49,Ontario,Male,English,French,Trade Certificate/Diploma,Full-Time,Professionals,$50000-$59999,White,Burgers_Burger past 30 3-4
121,40-44,Alberta,Female,French,English,Bachelors Degrees,Full-Time,Other,$25000-$34999,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
122,35-39,Ontario,Male,English,French,High School Graduation Certificate,Not Employed,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Burgers_Burger Past 30 5+
123,19 Years,Manitoba,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,Under $25000,Not Stated,Burgers_Burger Past 30 1-2
124,65-69,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Other,$100000-$124999,White,Chicken_Chicken past 30 3-4
125,25-29,Alberta,Male,French,English,Other Certificate/Diploma Not Univ,Part-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Chicken_Chicken Past 30 1-2
126,35-39,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
127,35-39,British Columbia,Female,English,English,High School Graduation Certificate,Not Employed,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
128,55-59,Alberta,Female,English,French,Bachelors Degrees,Full-Time,Other Managers,$25000-$34999,White,Burgers_Burger Past 30 1-2
129,50-54,Quebec,Female,Italian,English,High School Graduation Certificate,Not Employed,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
130,40-44,Ontario,Male,English,English,Trade Certificate/Diploma,Not Employed,Other Managers,$150000-$199999,White,Burgers_Burger past 30 3-4
131,19 Years,Ontario,Female,Indian-Other,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other Managers,$50000-$59999,White,Burgers_Burger Past 30 1-2
132,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,$200000 Or Over,White,Chicken_Chicken past 30 3-4
133,25-29,Ontario,Female,French,Chinese - Mandarin,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Chicken_Chicken Past 30 1-2
134,55-59,Quebec,Male,French,English,Elementary School Graduation Cert,Not Employed,Primary,Under $25000,White,Chicken_Chicken Past 30 1-2
135,25-29,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$100000-$124999,Chinese,Chicken_Chicken Past 30 1-2
136,60-64,Quebec,Female,English,Other,Other Certificate/Diploma Not Univ,Full-Time,Professionals,$60000-$74999,White,Chicken_Chicken Past 30 1-2
137,60-64,Nova Scotia,Female,French,Indian-Hindi,Elementary School Graduation Cert,Full-Time,Skilled,$125000-$149999,White,Chicken_Chicken Past 30 1-2
138,65-69,British Columbia,Male,Other,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$75000-$99999,Filipino,Chicken_Chicken Past 30 1-2
139,50-54,Ontario,Male,English,English,Bachelors Degrees,Part-Time,Clerical/Secretarial,$100000-$124999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
140,25-29,Quebec,Female,Other,English,High School Graduation Certificate,Not Employed,Other Managers,Under $25000,White,Burgers_Burger Past 30 1-2
141,70+,Quebec,Female,Tagalog,English,Bachelors Degrees,Not Employed,Other,$35000-$39999,Black,Burgers_Burger Past 30 1-2
142,30-34,Alberta,Male,English,Spanish,Univ Cert/Dipl Above Bachelor Level,Part-Time,Clerical/Secretarial,$60000-$74999,Not Stated,Chicken_Chicken Past 30 1-2
143,45-49,British Columbia,Female,Other,English,Bachelors Degrees,Not Employed,Other,$100000-$124999,Chinese,Chicken_Chicken past 30 3-4
144,45-49,New Brunswick,Male,Chinese-Cantonese,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$60000-$74999,White,Burgers_Burger Past 30 1-2
145,50-54,Quebec,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
146,60-64,British Columbia,Female,English,English,Bachelors Degrees,Not Employed,Clerical/Secretarial,$150000-$199999,White,Burgers_Burger Past 30 1-2
147,60-64,Ontario,Male,English,English,High School Graduation Certificate,Part-Time,Other,Under $25000,Latin/Central and South American,Chicken_Chicken past 30 3-4
148,60-64,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Unskilled,$40000-$49999,White,Burgers_Burger past 30 3-4
149,45-49,Ontario,Female,Greek,English,Elementary School Graduation Cert,Full-Time,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
150,65-69,Alberta,Female,English,Chinese - Mandarin,High School Graduation Certificate,Not Employed,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
151,55-59,British Columbia,Female,French,French,Trade Certificate/Diploma,Full-Time,Unskilled,$150000-$199999,White,Burgers_Burger Past 30 1-2
152,30-34,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Skilled,$25000-$34999,White,Burgers_Burger Past 30 5+
153,22-24,Quebec,Female,English,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$150000-$199999,Not Stated,Burgers_Burger Past 30 1-2
154,70+,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$75000-$99999,White,Burgers_Burger Past 30 1-2
155,55-59,British Columbia,Female,English,French,Bachelors Degrees,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,Not Stated,Chicken_Chicken Past 30 1-2
156,40-44,Ontario,Male,English,Other,Bachelors Degrees,Full-Time,Other,$75000-$99999,South Asian (East Indian Pakistani),Burgers_Burger past 30 3-4
157,45-49,Manitoba,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,$35000-$39999,White,Burgers_Burger Past 30 1-2
158,40-44,Ontario,Female,French,English,Trade Certificate/Diploma,Full-Time,Skilled,$40000-$49999,Arab,Burgers_Burger Past 30 1-2
159,65-69,Quebec,Female,English,English,High School Graduation Certificate,Not Employed,Other,Under $25000,Not Stated,Chicken_Chicken Past 30 1-2
160,40-44,Quebec,Male,English,French,Trade Certificate/Diploma,Full-Time,Unskilled,$75000-$99999,Chinese,Chicken_Chicken Past 30 1-2
161,30-34,Alberta,Female,English,English,Masters Degrees,Full-Time,Professionals,$125000-$149999,White,Chicken_Chicken past 30 3-4
162,55-59,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Professionals,$60000-$74999,White,Chicken_Chicken Past 30 1-2
163,20-21,Alberta,Male,English,English,Elementary School Graduation Cert,Part-Time,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
164,55-59,Ontario,Female,French,English,None,Not Employed,Other Managers,$125000-$149999,Not Stated,Burgers_Burger Past 30 1-2
165,60-64,Nova Scotia,Male,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,$150000-$199999,White,Chicken_Chicken Past 30 1-2
166,30-34,Alberta,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$75000-$99999,White,Burgers_Burger Past 30 5+
167,45-49,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,$125000-$149999,White,Chicken_Chicken Past 30 1-2
168,40-44,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other,$40000-$49999,White,Burgers_Burger past 30 3-4
169,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
170,55-59,Alberta,Female,English,English,Elementary School Graduation Cert,Full-Time,Skilled,$200000 Or Over,Other,Burgers_Burger Past 30 5+
171,30-34,Ontario,Female,German,Portuguese,Elementary School Graduation Cert,Full-Time,Other Managers,Under $25000,Chinese,Chicken_Chicken Past 30 1-2
172,60-64,Quebec,Female,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$50000-$59999,East/South Asian (Cambodian Indonesian),Burgers_Burger Past 30 1-2
173,55-59,British Columbia,Male,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
174,45-49,British Columbia,Male,Spanish,English,Bachelors Degrees,Not Employed,Clerical/Secretarial,$60000-$74999,Aboriginal,Chicken_Chicken Past 30 1-2
175,40-44,Alberta,Male,Indian-Punjabi,English,Elementary School Graduation Cert,Not Employed,Unskilled,$125000-$149999,White,Chicken_Chicken past 30 3-4
176,30-34,Quebec,Male,English,French,Univ Cert/Dipl Above Bachelor Level,Full-Time,Skilled,$100000-$124999,White,Chicken_Chicken past 30 3-4
177,70+,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,$25000-$34999,White,Chicken_Chicken Past 30 1-2
178,55-59,Alberta,Female,French,English,Trade Certificate/Diploma,Not Employed,Other,Under $25000,White,Popeye (Less) 1-2
179,15-17,Manitoba,Male,English,French,High School Graduation Certificate,Not Employed,Other,Under $25000,White,Popeyes 1-2
180,70+,Ontario,Male,Arabic,English,Other Certificate/Diploma Not Univ,Full-Time,Unskilled,Under $25000,White,Burgers_Burger Past 30 1-2
181,15-17,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,$50000-$59999,Other,Chicken_Chicken Past 30 1-2
182,55-59,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Professionals,Under $25000,White,Chicken_Chicken Past 30 1-2
183,50-54,Quebec,Male,Indian-Other,English,Elementary School Graduation Cert,Full-Time,Skilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
184,30-34,Ontario,Male,English,French,Univ Cert/Dipl Above Bachelor Level,Not Employed,Professionals,$75000-$99999,White,Burgers_Burger Past 30 1-2
185,55-59,Ontario,Male,Spanish,English,High School Graduation Certificate,Full-Time,Unskilled,Under $25000,White,Chicken_Chicken past 30 3-4
186,40-44,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
187,65-69,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$100000-$124999,White,Chicken_Chicken Past 30 1-2
188,70+,Ontario,Female,Spanish,English,Bachelors Degrees,Full-Time,Professionals,$40000-$49999,White,Burgers_Burger Past 30 1-2
