,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
10,10,13,13,60,60,,60,50-54,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.7333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,0.7333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,25,0.20326530612244897,0.04,0.0,0.12326530612244899,0.04,0.0,0.0,0.0563265306122449,0.0,0.0,0.0,0.0,0.0010767507967955896,label1x,label4x,label8x,0,3,7,0.3828571428571429
11,11,14,14,75,75,,75,65-69,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.9333333333333332,1.0,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-1.0-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,11,0.18181818181818182,0.25,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004737703505900594,label4x,label2x,label1x,3,1,0,0.7045454545454546
12,12,15,15,78,78,,78,45-49,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Other,,,,0.6666666666666666,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,50,0.04049886621315193,0.0,0.02049886621315193,0.04049886621315193,0.02,0.0,0.0,0.0,0.026984126984126985,0.02199546485260771,0.0,0.0,0.002153501593591179,label1x,label9x,label10x,0,8,9,0.08947845804988662
13,13,16,16,91,91,,91,19 Years,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,,,,0.2,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.2-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,17,0.058823529411764705,0.12336601307189543,0.08741830065359478,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007321905418210009,label2x,label3x,label1x,1,2,0,0.26960784313725494
14,14,17,17,93,93,,93,60-64,Quebec,Male,English,French,High School Graduation Certificate,Not Employed,Senior Managers/Owners,,,,0.8666666666666667,0.8888888888888888,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.5555555555555556,0,1.0,,0.8666666666666667-0.8888888888888888-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.5555555555555556-0-1.0,36,0.19444444444444445,0.06013888888888889,0.030833333333333338,0.05555555555555555,0.11875000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001550521147385649,label1x,label5x,label2x,0,4,1,0.37333333333333335
15,15,18,18,104,104,,104,65-69,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Skilled,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,28,0.07142857142857142,0.07142857142857142,0.043247767857142856,0.18108258928571427,0.03571428571428571,0.0,0.0,0.0,0.0,0.04575892857142857,0.0,0.0,0.0012059608924110605,label4x,label1x,label10x,3,0,9,0.29827008928571425
16,16,19,19,105,105,,105,40-44,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,13,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0005599104143337066,label1x,label7x,label2x,0,6,1,0.4358974358974359
17,17,20,20,108,108,,108,70+,Ontario,Male,French,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,1.0,0.6666666666666666,0,0.29411764705882354,0.2352941176470588,0.4,0.0,0.2222222222222222,0,0.0,,1.0-0.6666666666666666-0-0.29411764705882354-0.2352941176470588-0.4-0.0-0.2222222222222222-0-0.0,49,0.3070204081632653,0.021306122448979593,0.0,0.12334693877551021,0.0,0.0,0.0,0.0,0.0,0.024489795918367346,0.0,0.026693877551020408,0.0021104315617193558,label1x,label4x,label12x,0,3,11,0.45706122448979597
18,18,21,21,115,115,,115,60-64,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.0,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.0-0.0-0.8888888888888888-0-1.0,13,0.7692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0005599104143337066,label1x,label3x,,0,2,0,0.8461538461538463
19,19,22,22,116,116,,116,50-54,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,18,0.2864583333333333,0.05555555555555555,0.08159722222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007752605736928245,label1x,label4x,label3x,0,3,2,0.5347222222222222
20,20,23,23,117,117,,117,65-69,Ontario,Male,Other,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.9333333333333332,0.6666666666666666,0,0.7058823529411765,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.7058823529411765-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,61,0.1652924628964982,0.09836065573770492,0.051896401202832475,0.19875836647589484,0.03346590357939665,0.01843049762343583,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.002627271944181239,label4x,label1x,label2x,3,0,1,0.462411485110098
21,21,25,25,125,125,,126,35-39,Quebec,Female,English,English,Bachelors Degrees,Not Employed,Other,,,,0.5333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.5333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,26,0.19230769230769232,0.0,0.0,0.038461538461538464,0.1180889423076923,0.0,0.0,0.05739182692307692,0.0,0.0,0.0,0.0,0.0011198208286674132,label1x,label5x,label8x,0,4,7,0.36778846153846156
22,22,27,27,144,144,,145,50-54,Quebec,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,7,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0003014902231027651,label1x,label7x,,0,6,0,0.5357142857142857
23,23,28,28,151,151,,152,30-34,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Skilled,,,,0.4666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.4666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,17,0.2529411764705882,0.0,0.0,0.37058823529411766,0.12941176470588237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007321905418210009,label4x,label1x,label5x,3,0,4,0.7529411764705882
24,24,30,30,161,161,,162,55-59,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Professionals,,,,0.8,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.8,0.0,0.4444444444444444,0,1.0,,0.8-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.8-0.0-0.4444444444444444-0-1.0,9,0.4444444444444444,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038763028684641226,label1x,label2x,label4x,0,1,3,0.8888888888888888
25,25,31,31,165,165,,166,30-34,Alberta,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.0,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.0-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,57,0.14035087719298245,0.0,0.0,0.05263157894736842,0.0,0.018794403363781357,0.0,0.0,0.0,0.0,0.0,0.025463969841960272,0.0024549918166939444,label1x,label4x,label12x,0,3,11,0.21844642598231115
26,26,32,32,166,166,,167,45-49,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.6666666666666666,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,49,0.04081632653061224,0.04188775510204082,0.02094387755102041,0.041352040816326534,0.0,0.0,0.0,0.0,0.0,0.021479591836734695,0.0,0.02790816326530612,0.0021104315617193558,label2x,label4x,label1x,1,3,0,0.1240561224489796
27,27,33,33,167,167,,168,40-44,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.6,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.6-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,21,0.4166666666666667,0.0,0.0,0.3333333333333333,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009044706693082953,label1x,label4x,label5x,0,3,4,0.8452380952380952
28,28,34,34,168,168,,169,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,12,0.3333333333333333,0.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000516840382461883,label2x,label1x,,1,0,0,0.7291666666666666
29,29,35,35,176,176,,177,70+,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.8888888888888888,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.8888888888888888-0-1.0,6,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002584201912309415,label5x,label1x,,4,0,0,0.8333333333333333
30,30,36,36,178,178,,179,15-17,Manitoba,Male,English,French,High School Graduation Certificate,Not Employed,Other,,,,0.06666666666666668,0.2222222222222222,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.1111111111111111,0,1.0,,0.06666666666666668-0.2222222222222222-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.1111111111111111-0-1.0,18,0.41358024691358025,0.0,0.06790123456790124,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007752605736928245,label1x,label4x,label3x,0,3,2,0.7037037037037036
31,31,37,37,185,185,,186,40-44,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,10,0.2,0.0,0.175,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043070031871823584,label1x,label3x,label4x,0,2,3,0.475
32,32,38,38,186,186,,187,65-69,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,14,0.3794642857142857,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006029804462055302,label1x,label3x,,0,2,0,0.4732142857142857
33,33,39,39,202,202,,203,25-29,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,16,0.3125,0.0625,0.0,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006891205099491774,label4x,label1x,label2x,3,0,1,0.796875
34,34,40,40,207,207,,208,30-34,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,32,0.09375,0.09814453125,0.0,0.252197265625,0.033447265625,0.0,0.0400390625,0.0,0.0,0.0,0.0,0.0,0.0013782410198983548,label4x,label2x,label1x,3,1,0,0.444091796875
35,35,41,41,211,211,,212,25-29,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,11,0.0,0.09090909090909091,0.1313131313131313,0.29292929292929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004737703505900594,label4x,label3x,label2x,3,2,1,0.5151515151515151
36,36,42,42,217,217,,218,70+,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.5,0.0,0.1111111111111111,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.5-0.0-0.1111111111111111-0-1.0,20,0.2,0.062,0.0,0.20600000000000002,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0008614006374364717,label4x,label1x,label2x,3,0,1,0.468
37,37,43,43,219,219,,220,50-54,Quebec,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-1.0-0-1.0,6,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002584201912309415,label4x,label1x,,3,0,0,0.5
38,38,44,44,223,223,,224,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.0,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.0-0-1.0,9,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.00038763028684641226,label1x,label6x,label4x,0,5,3,0.5277777777777777
39,39,45,45,225,225,,226,40-44,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.6,0.0,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.6-0.0-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,39,0.28205128205128205,0.02564102564102564,0.028806584362139922,0.1282051282051282,0.02564102564102564,0.0,0.0,0.035137701804368475,0.0,0.02722380500158278,0.0,0.0,0.0016797312430011197,label1x,label4x,label8x,0,3,7,0.4453941120607787
40,40,46,46,240,240,,241,70+,Alberta,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,1.0,0.0,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,1.0-0.0-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,17,0.18566176470588236,0.0,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.08639705882352941,0.0,0.0,0.0,0.0,0.0,0.0007321905418210009,label1x,label4x,label7x,0,3,6,0.44852941176470595
41,41,48,48,246,246,,247,50-54,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.0,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.0-0-1.0,5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021535015935911792,label1x,,,0,0,0,0.4
42,42,49,49,251,251,,252,40-44,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Unskilled,,,,0.6,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,1.0,0,1.0,,0.6-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-1.0-0-1.0,52,0.11591732367355637,0.019230769230769232,0.0,0.07692307692307693,0.019763477519710207,0.0,0.019230769230769232,0.0,0.0,0.0,0.02828681014276582,0.0,0.0022396416573348264,label1x,label4x,label11x,0,3,10,0.22112721073939912
43,43,50,50,253,253,,254,15-17,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Professionals,,,,0.06666666666666668,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.8,0.0,0.4444444444444444,0,1.0,,0.06666666666666668-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.8-0.0-0.4444444444444444-0-1.0,12,0.4166666666666667,0.25,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.000516840382461883,label1x,label2x,label6x,0,1,5,0.7500000000000001
44,44,51,51,255,255,,256,55-59,Ontario,Male,Other,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.8,0.6666666666666666,0,0.7058823529411765,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.8-0.6666666666666666-0-0.7058823529411765-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,114,0.15789473684210525,0.03533815247996534,0.017919509421702402,0.07919780160277236,0.01766907623998267,0.008771929824561403,0.03608945202512454,0.0,0.011025828460038986,0.009022363006281136,0.0,0.0,0.004909983633387889,label1x,label4x,label7x,0,3,6,0.27318199047000213
45,45,52,52,265,265,,266,55-59,Alberta,Female,English,English,Trade Certificate/Diploma,Not Employed,Other Managers,,,,0.8,0.0,1,0.2352941176470588,0.2352941176470588,0.8,0.5,0.2222222222222222,0,1.0,,0.8-0.0-1-0.2352941176470588-0.2352941176470588-0.8-0.5-0.2222222222222222-0-1.0,33,0.18429189857761286,0.0655534941249227,0.0,0.15151515151515152,0.12368583797155226,0.030303030303030304,0.03772418058132344,0.0,0.0,0.0,0.0,0.0,0.0014213110517701784,label1x,label4x,label5x,0,3,4,0.4594928880643166
46,46,53,53,268,268,,269,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,17,0.29411764705882354,0.17647058823529413,0.0,0.11764705882352941,0.09411764705882353,0.0,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,0.0007321905418210009,label1x,label2x,label4x,0,1,3,0.5882352941176471
