,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background
35,40-44,British Columbia,Female,English,English,Empty Nesters,"""Bachelors Degrees""",Technical/Sales/Teaching/Other White Collar,"Under $25,000","$25,000-$34,999",White
36,15-17,Quebec,Male,Italian,English,Adult Living Alone,High School Graduation Certificate,Other,"$75,000-$99,999","$40,000-$49,999",White
37,22-24,Manitoba,Female,Other,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$150,000-$199,999","$40,000-$49,999","South Asian (East Indian, Pakistani)"
38,70+,Ontario,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$150,000-$199,999","$125,000-$149,999",Filipino
39,20-21,British Columbia,Male,English,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Primary,"$125,000-$149,999","Under $25,000",Black
40,25-29,Quebec,Male,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$25,000-$34,999",White
41,70+,Quebec,Female,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$25,000-$34,999",White
42,65-69,Ontario,Female,English,English,Empty Nesters,Univ. Cert./Dipl. Above Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$25,000-$34,999",White
43,50-54,Ontario,Male,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$60,000-$74,999","$25,000-$34,999",White
44,50-54,Ontario,Female,Spanish,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Clerical/Secretarial,"Under $25,000","$75,000-$99,999",White
45,60-64,Manitoba,Female,English,French,Adult Living Alone,"""Bachelors Degrees""",Other,"$25,000-$34,999","$35,000-$39,999",White
46,35-39,Quebec,Female,French,French,Couple - No Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$75,000-$99,999",Aboriginal
47,40-44,New Brunswick,Male,English,French,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","$50,000-$59,999",Other
48,15-17,Quebec,Female,French,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other,"Under $25,000","Under $25,000",White
49,65-69,Ontario,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other Managers,"Under $25,000","$40,000-$49,999",White
50,55-59,Ontario,Female,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other Managers,"$35,000-$39,999","Under $25,000",White
51,70+,Ontario,Male,English,French,Adult Sharing Accommodation,"""Masters Degrees""",Senior Managers/Owners,"$60,000-$74,999","$75,000-$99,999",White
52,65-69,Ontario,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$150,000-$199,999","Under $25,000",White
53,25-29,Ontario,Female,Spanish,French,Couple With Children Living at Home,High School Graduation Certificate,Other,"$50,000-$59,999","$50,000-$59,999",White
54,30-34,Ontario,Female,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Senior Managers/Owners,"Under $25,000","$100,000-$124,999",White
55,18 Years,British Columbia,Female,English,French,Adult With Children Living At Home,"""Bachelors Degrees""",Unskilled,"$40,000-$49,999","$75,000-$99,999",Other
56,40-44,Ontario,Female,English,French,Couple - No Children Living At Home,"""Bachelors Degrees""",Professionals,"$75,000-$99,999","Under $25,000",Not Stated
57,45-49,Ontario,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$100,000-$124,999","$50,000-$59,999",White
58,25-29,Ontario,Female,English,Chinese-Cantonese,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$75,000-$99,999","Under $25,000",White
59,22-24,Alberta,Male,Greek,English,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$75,000-$99,999",None,Other
60,25-29,Newfoundland and Labrador,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Professionals,"$25,000-$34,999","$25,000-$34,999",White
61,60-64,Ontario,Female,French,English,Adult With Children Living At Home,Elementary School Graduation Cert,Other,"$150,000-$199,999","$75,000-$99,999",Other
62,70+,Ontario,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Clerical/Secretarial,"$60,000-$74,999","$40,000-$49,999",Chinese
63,70+,Quebec,Male,French,English,Empty Nesters,Elementary School Graduation Cert,Skilled,"$75,000-$99,999","Under $25,000","South Asian (East Indian, Pakistani)"
64,70+,Nova Scotia,Male,English,English,Other,Degree In Medicine/Dentistry/ Veterinary Medic,Other,"$35,000-$39,999","Under $25,000",White
65,40-44,Quebec,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"Under $25,000","Under $25,000",White
66,60-64,Ontario,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$60,000-$74,999","Under $25,000",White
67,70+,Ontario,Female,Chinese - Mandarin,English,Couple With Children Living at Home,"""Bachelors Degrees""",Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","Under $25,000",White
68,55-59,Quebec,Female,Spanish,English,Adult Sharing Accommodation,None,Senior Managers/Owners,"$75,000-$99,999","$40,000-$49,999",Other
69,45-49,Ontario,Female,English,Vietnamese,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"Under $25,000","$25,000-$34,999",White
70,40-44,Ontario,Male,English,English,Couple With Children Living at Home,"""Masters Degrees""",Clerical/Secretarial,"$125,000-$149,999","$100,000-$124,999",Not Stated
71,70+,Ontario,Female,English,English,Adult With Children Living At Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$75,000-$99,999",White
72,70+,Alberta,Female,Indian-Other,French,Empty Nesters,Elementary School Graduation Cert,Other Managers,"$100,000-$124,999","$60,000-$74,999",White
73,55-59,Ontario,Male,English,Chinese-Cantonese,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$100,000-$124,999","$50,000-$59,999",White
74,30-34,Alberta,Female,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Skilled,"$60,000-$74,999","$75,000-$99,999",White
75,60-64,Ontario,Male,Spanish,Chinese - Mandarin,Adult Sharing Accommodation,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$25,000-$34,999",White
76,60-64,Alberta,Male,English,English,Adult Sharing Accommodation,"""Masters Degrees""",Clerical/Secretarial,"Under $25,000","$60,000-$74,999",White
77,30-34,Ontario,Female,English,English,Other,"""Bachelors Degrees""",Unskilled,"Under $25,000","$50,000-$59,999",White
78,25-29,Ontario,Female,Indian-Hindi,English,Other,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$75,000-$99,999",White
79,40-44,Quebec,Male,English,English,Couple With Children Living at Home,"""Masters Degrees""",Unskilled,"$75,000-$99,999",None,White
80,40-44,British Columbia,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"$125,000-$149,999","Under $25,000",White
81,45-49,Quebec,Female,German,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$125,000-$149,999","$75,000-$99,999",White
82,45-49,Quebec,Male,French,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other Managers,"$150,000-$199,999","$25,000-$34,999",Latin/Central and South American
83,50-54,Ontario,Male,Chinese-Cantonese,French,Couple - No Children Living At Home,High School Graduation Certificate,Skilled,"$75,000-$99,999","Under $25,000",White
84,55-59,Ontario,Male,English,Chinese-Cantonese,Other,Trade Certificate/Diploma,Other,"$150,000-$199,999","$50,000-$59,999",Chinese
85,65-69,Saskatchewan,Female,English,French,Other,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$50,000-$59,999",White
86,65-69,Ontario,Female,French,English,Other,High School Graduation Certificate,Other,"$125,000-$149,999","$25,000-$34,999",Latin/Central and South American
87,35-39,Ontario,Male,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$75,000-$99,999",White
88,55-59,Alberta,Female,Tagalog,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"Under $25,000","Under $25,000",White
89,60-64,Quebec,Female,Indian-Punjabi,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","Under $25,000",White
90,45-49,Quebec,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","Under $25,000",White
91,22-24,Quebec,Female,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$75,000-$99,999","$35,000-$39,999",White
92,25-29,Quebec,Female,Spanish,French,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$200,000 Or Over","$60,000-$74,999",White
93,40-44,Quebec,Male,English,English,Adult Living Alone,Trade Certificate/Diploma,Other,"$75,000-$99,999","$25,000-$34,999",White
94,65-69,Manitoba,Female,English,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$25,000-$34,999","Under $25,000",Chinese
95,25-29,Ontario,Female,French,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$40,000-$49,999","Under $25,000",White
96,55-59,British Columbia,Male,French,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","$50,000-$59,999",White
97,65-69,British Columbia,Male,English,English,Adult Living Alone,Univ. Cert./Dipl. Below Bachelor Level,Other,"$40,000-$49,999",None,"South Asian (East Indian, Pakistani)"
98,40-44,Quebec,Female,French,French,Adult Living Alone,Univ. Cert./Dipl. Above Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$40,000-$49,999",White
99,15-17,Ontario,Male,English,English,Couple With Children Living at Home,"""Masters Degrees""",Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$60,000-$74,999",White
100,45-49,Ontario,Male,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"$50,000-$59,999","Under $25,000",White
101,25-29,Quebec,Female,French,Indian-Punjabi,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Unskilled,"$75,000-$99,999","Under $25,000",White
102,55-59,Ontario,Male,Other,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$40,000-$49,999","$150,000-$199,999",White
103,30-34,Alberta,Female,English,English,Empty Nesters,Trade Certificate/Diploma,Other Managers,"$125,000-$149,999","$50,000-$59,999",White
104,70+,Ontario,Male,French,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$40,000-$49,999","$60,000-$74,999",White
105,40-44,Quebec,Female,Spanish,English,Adult Living Alone,High School Graduation Certificate,Other Managers,"$60,000-$74,999","Under $25,000",White
106,60-64,Ontario,Male,Other,English,Couple With Children Living at Home,Elementary School Graduation Cert,Unskilled,"$150,000-$199,999","Under $25,000",White
107,50-54,Quebec,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","$35,000-$39,999","South Asian (East Indian, Pakistani)"
108,40-44,Ontario,Female,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Clerical/Secretarial,"Under $25,000","$60,000-$74,999","East/South Asian (Cambodian, Indonesian)"
109,35-39,Alberta,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$200,000 Or Over","Under $25,000",Aboriginal
110,60-64,British Columbia,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Professionals,"$150,000-$199,999","$35,000-$39,999",White
111,65-69,British Columbia,Male,Ukrainian,French,Empty Nesters,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$60,000-$74,999",White
112,25-29,Manitoba,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$25,000-$34,999","Under $25,000",White
113,30-34,British Columbia,Male,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$100,000-$124,999",None,White
114,60-64,Manitoba,Male,French,English,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$60,000-$74,999","$75,000-$99,999",White
115,35-39,Alberta,Female,English,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$40,000-$49,999","Under $25,000",White
116,45-49,British Columbia,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"Under $25,000","$25,000-$34,999",Other
117,60-64,Quebec,Male,English,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","Under $25,000",White
118,45-49,Alberta,Male,French,English,Adult Living Alone,"""Masters Degrees""",Unskilled,"$50,000-$59,999","$60,000-$74,999",White
119,20-21,Ontario,Male,French,French,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$150,000-$199,999","$25,000-$34,999",White
120,35-39,Ontario,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999",None,White
121,60-64,Ontario,Female,English,Other,Other,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$25,000-$34,999","$25,000-$34,999","South Asian (East Indian, Pakistani)"
122,70+,Saskatchewan,Male,English,English,Adult Living Alone,"""Bachelors Degrees""",Professionals,"Under $25,000","$40,000-$49,999",White
123,65-69,Quebec,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Senior Managers/Owners,"$50,000-$59,999","Under $25,000",White
124,45-49,British Columbia,Male,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$50,000-$59,999","$125,000-$149,999",White
125,25-29,Ontario,Female,English,French,Couple With Children Living at Home,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$100,000-$124,999",White
126,22-24,Ontario,Female,French,Tagalog,Adult Sharing Accommodation,High School Graduation Certificate,Other,"Under $25,000","Under $25,000",White
127,70+,Alberta,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other Managers,"$200,000 Or Over","Under $25,000",White
128,55-59,Quebec,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$200,000 Or Over","Under $25,000",White
129,70+,British Columbia,Male,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Senior Managers/Owners,"$35,000-$39,999","$25,000-$34,999",White
130,60-64,Ontario,Male,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$25,000-$34,999","Under $25,000",White
131,30-34,Ontario,Male,English,Chinese - Mandarin,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$50,000-$59,999","$60,000-$74,999",White
132,30-34,Newfoundland and Labrador,Female,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$40,000-$49,999","$35,000-$39,999",White
133,40-44,Quebec,Male,Tagalog,English,Empty Nesters,Elementary School Graduation Cert,Other,"$200,000 Or Over","Under $25,000",White
134,25-29,Manitoba,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$25,000-$34,999","$35,000-$39,999",White
135,30-34,Ontario,Female,French,Other,Couple - No Children Living At Home,Elementary School Graduation Cert,Unskilled,"$75,000-$99,999","$25,000-$34,999",Other
136,35-39,Quebec,Female,English,English,Empty Nesters,High School Graduation Certificate,Other,"$50,000-$59,999","$60,000-$74,999",White
137,25-29,Quebec,Male,French,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"Under $25,000","$75,000-$99,999",White
138,65-69,British Columbia,Male,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$100,000-$124,999",None,White
139,65-69,Manitoba,Female,Chinese - Mandarin,French,Couple With Children Living at Home,"""Masters Degrees""",Professionals,"Under $25,000","$40,000-$49,999",White
140,25-29,Alberta,Male,English,English,Couple - No Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Clerical/Secretarial,"$100,000-$124,999","$60,000-$74,999",White
141,70+,Ontario,Female,English,English,Adult Sharing Accommodation,Univ. Cert./Dipl. Above Bachelor Level,Clerical/Secretarial,"$35,000-$39,999","Under $25,000",White
142,25-29,Ontario,Male,English,French,Couple - No Children Living At Home,"""Masters Degrees""",Primary,"$125,000-$149,999","$50,000-$59,999","South Asian (East Indian, Pakistani)"
143,70+,Ontario,Female,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Clerical/Secretarial,"$75,000-$99,999","Under $25,000",White
144,20-21,Alberta,Male,Spanish,English,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$50,000-$59,999","$50,000-$59,999",White
145,60-64,Saskatchewan,Male,English,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","$75,000-$99,999",White
146,20-21,Quebec,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"$75,000-$99,999",None,White
147,45-49,Ontario,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Senior Managers/Owners,"$25,000-$34,999","Under $25,000",White
148,14 Years,Alberta,Male,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$40,000-$49,999","Under $25,000",White
149,70+,Ontario,Female,Indian-Hindi,English,Adult Living Alone,Elementary School Graduation Cert,Other Managers,"$35,000-$39,999","$50,000-$59,999","West Asian (Afghan, Iranian, etc.)"
150,55-59,Quebec,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Other Managers,"$25,000-$34,999","$60,000-$74,999",White
151,70+,Ontario,Male,Tagalog,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","$200,000 Or Over",Black
152,70+,Ontario,Male,English,English,Adult Living Alone,"""Bachelors Degrees""",Other,"$75,000-$99,999","$25,000-$34,999",White
153,40-44,Ontario,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$50,000-$59,999","Under $25,000",White
154,50-54,Quebec,Male,English,French,Empty Nesters,Trade Certificate/Diploma,Other Managers,"$100,000-$124,999","Under $25,000",White
155,20-21,Alberta,Male,Italian,French,Couple - No Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$150,000-$199,999","$50,000-$59,999",White
156,30-34,Quebec,Female,German,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$60,000-$74,999","$100,000-$124,999",White
157,30-34,Ontario,Female,English,Indian-Punjabi,Couple With Children Living at Home,None,Primary,"$100,000-$124,999","Under $25,000",White
158,55-59,Alberta,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Unskilled,"$25,000-$34,999","Under $25,000",White
159,70+,Quebec,Female,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",Filipino
160,50-54,Alberta,Female,Other,English,Adult Living Alone,"""Masters Degrees""",Other Managers,"$25,000-$34,999","Under $25,000",Not Stated
161,70+,Ontario,Female,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$75,000-$99,999","$100,000-$124,999",Chinese
162,60-64,Ontario,Male,English,English,Couple - No Children Living At Home,"""Masters Degrees""",Other,"$100,000-$124,999","$50,000-$59,999",White
163,25-29,British Columbia,Male,Indian-Hindi,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$200,000 Or Over","$75,000-$99,999",White
164,50-54,Nova Scotia,Female,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$200,000 Or Over","$40,000-$49,999",White
165,60-64,Quebec,Female,English,English,Empty Nesters,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"$200,000 Or Over","$40,000-$49,999",White
166,30-34,Quebec,Male,French,Other,Empty Nesters,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","$75,000-$99,999",White
167,50-54,Ontario,Male,Arabic,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Clerical/Secretarial,"$40,000-$49,999","$125,000-$149,999",White
168,55-59,Ontario,Male,English,English,Couple With Children Living at Home,Univ. Cert./Dipl. Below Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999",None,"South Asian (East Indian, Pakistani)"
169,55-59,Ontario,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$200,000 Or Over",None,Not Stated
170,70+,Quebec,Male,English,English,Empty Nesters,Trade Certificate/Diploma,Other,"$60,000-$74,999","$125,000-$149,999",White
171,30-34,Ontario,Female,English,French,Adult Sharing Accommodation,"""Bachelors Degrees""",Other,"$35,000-$39,999","$150,000-$199,999",White
172,40-44,Ontario,Male,English,Arabic,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"Under $25,000","Under $25,000","South Asian (East Indian, Pakistani)"
173,22-24,Alberta,Male,English,English,Empty Nesters,High School Graduation Certificate,Other,"$100,000-$124,999","Under $25,000",White
174,50-54,Ontario,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$50,000-$59,999",None,White
175,50-54,Ontario,Female,Chinese-Cantonese,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"$60,000-$74,999","$35,000-$39,999",White
176,70+,Alberta,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$75,000-$99,999",White
177,45-49,Prince Edward Island,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$50,000-$59,999","$75,000-$99,999",White
178,25-29,Ontario,Female,French,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",White
179,30-34,New Brunswick,Male,Spanish,French,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$150,000-$199,999","Under $25,000",White
180,70+,Saskatchewan,Male,Other,Other,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$75,000-$99,999","$35,000-$39,999",White
181,60-64,Ontario,Male,German,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$100,000-$124,999","$25,000-$34,999",Black
182,70+,Quebec,Female,English,French,Adult With Children Living At Home,Trade Certificate/Diploma,Other,"$75,000-$99,999","Under $25,000",Chinese
183,45-49,Ontario,Male,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$125,000-$149,999","$35,000-$39,999",White
184,70+,Alberta,Male,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Unskilled,"Under $25,000","Under $25,000",White
185,22-24,Nova Scotia,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$35,000-$39,999",None,White
186,40-44,British Columbia,Male,French,English,Empty Nesters,High School Graduation Certificate,Other,"$60,000-$74,999","$25,000-$34,999",White
