+----+----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+------------+------------+------------+---------+
|    | number   |   label1x |   label2x |   label3x |   label4x |   label5x |   label6x |   label7x |   label8x |   label9x |   label10x |   label11x |   label12x |   total |
| 31 | 31.0     | 0.104762  | 0.0547619 | 0.0880952 | 0.0690476 | 0.0809524 | 0.102381  | 0.097619  | 0.0452381 | 0.0785714 |  0.0595238 |  0.111905  |  0.107143  |     420 |
| 32 | 32.0     | 0.062963  | 0.0407407 | 0.155556  | 0.0444444 | 0.0333333 | 0.0296296 | 0.137037  | 0.0851852 | 0.207407  |  0.0592593 |  0.1       |  0.0444444 |     270 |
| 33 | 33.0     | 0.0779221 | 0.0649351 | 0.142857  | 0.116883  | 0.0649351 | 0.0649351 | 0.155844  | 0         | 0         |  0.0519481 |  0.25974   |  0         |      77 |
| 34 | 34.0     | 0.0588235 | 0.117647  | 0.0735294 | 0.0882353 | 0.191176  | 0.0735294 | 0.0882353 | 0.0735294 | 0         |  0.235294  |  0         |  0         |      68 |
| 35 | 35.0     | 0.168     | 0.088     | 0.056     | 0.112     | 0.088     | 0.08      | 0.12      | 0.04      | 0         |  0.128     |  0         |  0.12      |     125 |
| 36 | 36.0     | 0.057971  | 0.0507246 | 0.0507246 | 0.0797101 | 0.0869565 | 0.101449  | 0.0652174 | 0.0507246 | 0.297101  |  0.0507246 |  0         |  0.108696  |     138 |
| 37 | 37.0     | 0.0967742 | 0.078341  | 0.0599078 | 0.101382  | 0.0921659 | 0.165899  | 0.078341  | 0.0368664 | 0.0875576 |  0.0552995 |  0.147465  |  0         |     217 |
| 38 | 38.0     | 0.0632411 | 0.0750988 | 0.0790514 | 0.0632411 | 0.0790514 | 0.0869565 | 0.0592885 | 0.13834   | 0.0434783 |  0.0316206 |  0.055336  |  0.225296  |     253 |
| 39 | 39.0     | 0.0766129 | 0.0685484 | 0.0443548 | 0.0604839 | 0.0403226 | 0.0766129 | 0.0725806 | 0.100806  | 0.0604839 |  0.145161  |  0.0806452 |  0.173387  |     248 |
| 40 | 40.0     | 0.0765027 | 0.0819672 | 0.0819672 | 0.0874317 | 0.0491803 | 0.0655738 | 0.136612  | 0.131148  | 0         |  0.114754  |  0.174863  |  0         |     183 |
| 41 | 41.0     | 0.0534979 | 0.0576132 | 0.037037  | 0.106996  | 0.123457  | 0.0452675 | 0.0864198 | 0.0411523 | 0.156379  |  0.0452675 |  0.17284   |  0.0740741 |     243 |
| 42 | 42.0     | 0.0430108 | 0.0322581 | 0.107527  | 0.0645161 | 0.0860215 | 0.0752688 | 0.129032  | 0         | 0.397849  |  0.0645161 |  0         |  0         |      93 |
| 43 | 43.0     | 0.059633  | 0.0321101 | 0.0550459 | 0.0504587 | 0.0688073 | 0.0825688 | 0.0458716 | 0.0137615 | 0.0917431 |  0.0963303 |  0.0733945 |  0.330275  |     218 |
| 44 | 44.0     | 0.0810811 | 0.0945946 | 0.10473   | 0.0844595 | 0.118243  | 0.0675676 | 0.0945946 | 0.128378  | 0.0506757 |  0.125     |  0         |  0.0506757 |     296 |
| 45 | 45.0     | 0.0742574 | 0.0841584 | 0.178218  | 0.0891089 | 0.0643564 | 0.0841584 | 0.0792079 | 0.118812  | 0.0693069 |  0.019802  |  0         |  0.138614  |     202 |
| 46 | 46.0     | 0.0700935 | 0.0654206 | 0.0514019 | 0.0794393 | 0.0654206 | 0.0654206 | 0.0514019 | 0.088785  | 0.0233645 |  0.0981308 |  0.21028   |  0.130841  |     214 |
| 47 | 47.0     | 0.118343  | 0.118343  | 0.0887574 | 0.130178  | 0.0946746 | 0.12426   | 0.035503  | 0.100592  | 0         |  0.100592  |  0         |  0.0887574 |     169 |
| 48 | 48.0     | 0.0823045 | 0.0617284 | 0.0740741 | 0.090535  | 0.119342  | 0.0740741 | 0.0452675 | 0.0658436 | 0.0823045 |  0.0288066 |  0.213992  |  0.0617284 |     243 |
| 49 | 49.0     | 0.0642857 | 0.128571  | 0.0642857 | 0.0642857 | 0.1       | 0.0714286 | 0.142857  | 0.1       | 0.107143  |  0.157143  |  0         |  0         |     140 |
| 50 | 50.0     | 0.0331492 | 0.104972  | 0.138122  | 0.0441989 | 0.0718232 | 0.038674  | 0.143646  | 0.0828729 | 0         |  0.0662983 |  0.19337   |  0.0828729 |     181 |
| 51 | 51.0     | 0.12      | 0.12      | 0.08      | 0.1       | 0.06      | 0.04      | 0.02      | 0.2       | 0         |  0         |  0.26      |  0         |      50 |
| 52 | 52.0     | 0.0196078 | 0.0980392 | 0.117647  | 0.0588235 | 0.117647  | 0.0588235 | 0.0392157 | 0.176471  | 0.235294  |  0.0784314 |  0         |  0         |      51 |
| 53 | 53.0     | 0.0920245 | 0.0490798 | 0.128834  | 0.0490798 | 0.0797546 | 0.0368098 | 0.122699  | 0         | 0         |  0.0674847 |  0.282209  |  0.0920245 |     163 |
| 54 | 54.0     | 0.0947368 | 0.0526316 | 0.0421053 | 0.0842105 | 0.0736842 | 0.110526  | 0.0684211 | 0.152632  | 0         |  0.2       |  0.0631579 |  0.0578947 |     190 |
| 55 | 55.0     | 0.043956  | 0.043956  | 0.10989   | 0.0549451 | 0.0659341 | 0.0769231 | 0.0549451 | 0.153846  | 0         |  0.120879  |  0.274725  |  0         |      91 |
| 56 | 56.0     | 0.0859729 | 0.0995475 | 0.081448  | 0.0950226 | 0.108597  | 0.122172  | 0.126697  | 0.113122  | 0         |  0.0361991 |  0.131222  |  0         |     221 |
| 57 | 57.0     | 0.111111  | 0.0818713 | 0.111111  | 0.0467836 | 0.0643275 | 0.0818713 | 0.111111  | 0.0350877 | 0.19883   |  0.0760234 |  0         |  0.0818713 |     171 |
| 58 | 58.0     | 0.0659341 | 0.0879121 | 0.131868  | 0.0659341 | 0.0879121 | 0.0989011 | 0.0769231 | 0         | 0.186813  |  0.197802  |  0         |  0         |      91 |
| 59 | 59.0     | 0.0721311 | 0.114754  | 0.0754098 | 0.0819672 | 0.0721311 | 0.0688525 | 0.0786885 | 0.0459016 | 0.0885246 |  0.0360656 |  0.2       |  0.0655738 |     305 |
|  0 | TOTAL    | 4.89486   | 4.99349   | 5.02817   | 5.00564   | 5.00364   | 5.02605   | 4.95232   | 4.93077   | 5.21661   |  5.14871   |  4.98941   |  4.81034   |   12000 |
+----+----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+------------+------------+------------+---------+
