,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores,total1
21,21,21,115,115,,115,60-64,Ontario,Female,French,English,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.8666666666666667,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.0,0.0,0.8888888888888888,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.0-0.0-0.8888888888888888-0-1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,label6x,,,5,0,0,1.0,1.0
25,26,26,131,131,,132,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.2222222222222222,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.2222222222222222-0-1.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
26,27,27,144,144,,145,50-54,Quebec,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,0.5,1.0
27,30,30,161,161,,162,55-59,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Professionals,,,,0.8,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.8,0.0,0.4444444444444444,0,1.0,,0.8-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.8-0.0-0.4444444444444444-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
30,33,33,167,167,,168,40-44,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.6,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.6-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
32,35,35,176,176,,177,70+,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.8888888888888888,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.8888888888888888-0-1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
33,36,36,178,178,,179,15-17,Manitoba,Male,English,French,High School Graduation Certificate,Not Employed,Other,,,,0.06666666666666668,0.2222222222222222,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.1111111111111111,0,1.0,,0.06666666666666668-0.2222222222222222-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.1111111111111111-0-1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
35,38,38,186,186,,187,65-69,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
38,42,42,217,217,,218,70+,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.5,0.0,0.1111111111111111,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.5-0.0-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,0.5,1.0
39,43,43,219,219,,220,50-54,Quebec,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.7333333333333333,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.7333333333333333-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-1.0-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
40,44,44,223,223,,224,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,,,,0.7333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.0,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.0-0-1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,label6x,,,5,0,0,1.0,1.0
46,53,53,268,268,,269,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
48,55,55,280,280,,281,25-29,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.4,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.4-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,0.5,1.0
53,61,61,302,302,,303,35-39,British Columbia,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.5333333333333333,0.1111111111111111,0,0.29411764705882354,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.5333333333333333-0.1111111111111111-0-0.29411764705882354-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
54,62,62,307,307,,308,70+,Quebec,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,1.0,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,1.0-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
56,64,64,315,315,,316,30-34,British Columbia,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,,,,0.4666666666666667,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.4666666666666667-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
61,70,70,341,341,,342,30-34,Ontario,Female,English,English,None,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.6,0.0,0.8888888888888888,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.6-0.0-0.8888888888888888-0-1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
62,71,71,342,342,,343,15-17,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,,,,0.06666666666666668,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.06666666666666668-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,0.3333333333333333,1.0
64,73,73,347,347,,348,30-34,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,,,,0.4666666666666667,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.4666666666666667-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,label7x,,,6,0,0,1.0,1.0
65,74,74,348,348,,349,45-49,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,,,,0.6666666666666666,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.5,0.0,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.5-0.0-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
72,81,81,394,394,,395,60-64,Quebec,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.8666666666666667,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.8666666666666667-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.0-0.0-1.0-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
73,82,82,397,397,,398,60-64,Alberta,Female,Other,English,Univ Cert/Dipl Above Bachelor Level,Full-Time,Other,,,,0.8666666666666667,0.0,1,0.7058823529411765,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.8666666666666667-0.0-1-0.7058823529411765-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
74,83,83,398,398,,399,60-64,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Other,,,,0.8666666666666667,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.8666666666666667-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
75,85,85,405,405,,406,65-69,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
77,87,87,410,410,,411,25-29,British Columbia,Female,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.4,0.1111111111111111,1,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.4-0.1111111111111111-1-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
79,89,89,417,417,,418,22-24,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other,,,,0.3333333333333333,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.5,0.0,0.1111111111111111,0,1.0,,0.3333333333333333-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.5-0.0-0.1111111111111111-0-1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
82,92,92,425,425,,426,15-17,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Senior Managers/Owners,,,,0.06666666666666668,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.5555555555555556,0,1.0,,0.06666666666666668-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.5555555555555556-0-1.0,3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,0.3333333333333333,1.0
83,93,93,428,428,,429,50-54,Quebec,Male,English,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.7333333333333333,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.7333333333333333-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.0-1.0-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
86,97,97,442,442,,443,35-39,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Professionals,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.4444444444444444,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.4444444444444444-0-1.0,2,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,0.5,1.0
87,98,98,445,445,,446,70+,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Professionals,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.4444444444444444,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.4444444444444444-0-1.0,2,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,0.5,1.0
93,105,105,471,471,,472,45-49,Ontario,Male,English,French,Trade Certificate/Diploma,Not Employed,Other,,,,0.6666666666666666,0.6666666666666666,0,0.2352941176470588,0.29411764705882354,0.8,0.5,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-0-0.2352941176470588-0.29411764705882354-0.8-0.5-0.1111111111111111-0-1.0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,1.0,1.0
94,106,106,473,473,,474,55-59,Ontario,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Not Employed,Skilled,,,,0.8,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.7777777777777778,0,1.0,,0.8-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.7777777777777778-0-1.0,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,0.5,1.0
100,112,112,516,516,,517,35-39,Ontario,Male,English,French,High School Graduation Certificate,Full-Time,Other,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.29411764705882354,0.5,0.0,0.1111111111111111,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.29411764705882354-0.5-0.0-0.1111111111111111-0-1.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
102,114,114,518,518,,519,65-69,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.9333333333333332,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.9333333333333332-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,label8x,,,7,0,0,1.0,1.0
103,115,115,524,524,,525,55-59,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Clerical/Secretarial,,,,0.8,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.0,0.0,0,1.0,,0.8-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.0-0.0-0-1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label5x,,,4,0,0,1.0,1.0
107,120,120,549,549,,550,45-49,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,,,,0.6666666666666666,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,label12x,,,11,0,0,1.0,1.0
110,126,126,567,567,,568,70+,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Unskilled,,,,1.0,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.5,0.0,1.0,0,1.0,,1.0-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.5-0.0-1.0-0-1.0,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,0.5,1.0
113,130,130,602,602,,603,18 Years,Alberta,Female,French,English,Bachelors Degrees,Full-Time,Other,,,,0.13333333333333333,0.0,1,0.29411764705882354,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.13333333333333333-0.0-1-0.29411764705882354-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
114,132,132,613,613,,614,45-49,Manitoba,Male,English,English,Bachelors Degrees,Not Employed,Other,,,,0.6666666666666666,0.2222222222222222,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.6666666666666666-0.2222222222222222-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,4,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,label3x,,,2,0,0,0.5,1.0
116,134,134,615,615,,616,60-64,Quebec,Female,French,French,Bachelors Degrees,Not Employed,Other,,,,0.8666666666666667,0.8888888888888888,1,0.29411764705882354,0.29411764705882354,0.0,0.5,0.1111111111111111,0,1.0,,0.8666666666666667-0.8888888888888888-1-0.29411764705882354-0.29411764705882354-0.0-0.5-0.1111111111111111-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
117,135,135,617,617,,618,70+,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
118,136,136,637,637,,638,50-54,Ontario,Female,French,English,Elementary School Graduation Cert,Full-Time,Senior Managers/Owners,,,,0.7333333333333333,0.6666666666666666,1,0.29411764705882354,0.2352941176470588,0.4,0.0,0.5555555555555556,0,1.0,,0.7333333333333333-0.6666666666666666-1-0.29411764705882354-0.2352941176470588-0.4-0.0-0.5555555555555556-0-1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label4x,,,3,0,0,1.0,1.0
119,137,137,646,646,,647,30-34,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label2x,,,1,0,0,1.0,1.0
120,138,138,649,649,,650,22-24,Ontario,Female,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.3333333333333333,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.3333333333333333-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,label1x,,,0,0,0,1.0,1.0
